# Auxiliary finding vocabulary: structures and abnormalities the reports
# describe that the competition does NOT score. Same schema, same matcher
# and the same cues.csv as findings.csv — only the target list differs.
#
# These exist to be EXTRA TRAINING TARGETS on a shared trunk, discarded at
# inference. Nothing here is ever submitted or evaluated against gold.
#
# `a~b` is a composite: both halves within 45 characters, in either order.
# Multi-word phrases are written this way on purpose — the matcher anchors
# the START of a term only, so a stem matches every inflection of it.
# 'hinter~kreuzband' catches hinteres, hintere and hinteren Kreuzband;
# the literal 'hinteres kreuzband' catches exactly one of the three, and
# a test caught that gap on German PCL.
#
# corpus=1 means the term was measured to fire in a report of that
# language in the training corpus (English terms: anywhere, because every
# language falls back to English).
finding,language,term,corpus
BoneEdema,bg,костн~оток,1
BoneEdema,bg,оток~костн,1
BoneEdema,bs,edem~košt,1
BoneEdema,bs,edem~kosti,1
BoneEdema,de,knochenmarködem,1
BoneEdema,de,knochenmarksödem,1
BoneEdema,de,knochenödem,1
BoneEdema,de,knochenmark~ödem,1
BoneEdema,el,οίδημα~μυελ,1
BoneEdema,el,οστικ~οίδημα,1
BoneEdema,en,bone marrow edema,1
BoneEdema,en,bone marrow oedema,1
BoneEdema,en,marrow~edema,1
BoneEdema,en,marrow~oedema,1
BoneEdema,en,subchondral~edema,1
BoneEdema,en,subchondral~oedema,1
BoneEdema,es,edema~óse,1
BoneEdema,es,edema~ose,0
BoneEdema,es,edema~medular,0
BoneEdema,fr,œdème~osseu,1
BoneEdema,fr,oedeme~osseu,0
BoneEdema,fr,œdème~médullaire,0
BoneEdema,hr,edem~košt,1
BoneEdema,hr,edem~kosti,1
BoneEdema,nl,beenmergoedeem,0
BoneEdema,nl,botoedeem,1
BoneEdema,nl,beenmerg~oedeem,0
BoneEdema,tr,kemik iliğ~ödem,1
BoneEdema,tr,kemik~ödem,1
Bursitis,bg,бурсит,0
Bursitis,bg,бурза,0
Bursitis,bs,burzitis,1
Bursitis,bs,burza,1
Bursitis,bs,burz,1
Bursitis,de,bursitis,1
Bursitis,de,schleimbeutel,0
Bursitis,el,θυλακίτιδ,0
Bursitis,el,ορογόν~θυλάκ,0
Bursitis,en,bursitis,1
Bursitis,en,bursal,1
Bursitis,en,bursa,1
Bursitis,es,bursitis,1
Bursitis,es,bolsa~seros,0
Bursitis,fr,bursite,1
Bursitis,fr,bourse~séreuse,0
Bursitis,hr,burzitis,1
Bursitis,hr,burza,0
Bursitis,hr,burz,1
Bursitis,nl,bursitis,1
Bursitis,nl,slijmbeurs,0
Bursitis,tr,bursit,1
Bursitis,tr,bursa,1
Chondral,bg,хрущял,1
Chondral,bg,хондромалаци,1
Chondral,bs,hondromalacij,1
Chondral,bs,hrskavic,1
Chondral,bs,hondraln,1
Chondral,de,knorpel,1
Chondral,de,chondropathie,1
Chondral,de,chondromalaz,0
Chondral,de,chondral,1
Chondral,el,χονδρομαλάκ,1
Chondral,el,χονδρομαλακ,0
Chondral,el,χονδροπάθ,1
Chondral,el,χόνδρ~αραίωσ,0
Chondral,el,χόνδρου,1
Chondral,en,chondromalacia,1
Chondral,en,chondral,1
Chondral,en,chondropathy,1
Chondral,en,cartilage defect,1
Chondral,en,cartilage loss,1
Chondral,en,cartilage thinning,1
Chondral,en,cartilag~defect,1
Chondral,en,cartilag~thinning,1
Chondral,es,condromalacia,1
Chondral,es,condral,1
Chondral,es,condropat,1
Chondral,es,cartílag~adelgaz,1
Chondral,es,cartilag~adelgaz,0
Chondral,fr,chondropathie,1
Chondral,fr,chondromalacie,0
Chondral,fr,cartilagineu,1
Chondral,fr,chondral,1
Chondral,hr,hondromalacij,1
Chondral,hr,hrskavic,1
Chondral,hr,hondraln,0
Chondral,nl,kraakbeen,1
Chondral,nl,chondropathie,1
Chondral,nl,chondromalacie,1
Chondral,tr,kondromalazi,1
Chondral,tr,kıkırdak,1
Chondral,tr,kondral,1
Enthesopathy,bg,илиотибиал,0
Enthesopathy,bg,ентезопат,0
Enthesopathy,bs,iliotibijaln,1
Enthesopathy,bs,entezopat,1
Enthesopathy,de,tractus iliotibialis,1
Enthesopathy,de,enthesiopathie,1
Enthesopathy,de,iliotibial,1
Enthesopathy,el,λαγονοκνημιαί,1
Enthesopathy,el,ενθεσοπάθ,0
Enthesopathy,el,ιλιοκνημιαί,0
Enthesopathy,en,enthesopathy,1
Enthesopathy,en,iliotibial,1
Enthesopathy,en,it band,1
Enthesopathy,es,entesopat,1
Enthesopathy,es,iliotibial,1
Enthesopathy,es,cintilla~iliotibial,0
Enthesopathy,es,banda~iliotibial,1
Enthesopathy,fr,bandelette~iliotibiale,1
Enthesopathy,fr,entésopathie,0
Enthesopathy,fr,iliotibial,1
Enthesopathy,hr,iliotibijaln,1
Enthesopathy,hr,entezopat,1
Enthesopathy,nl,iliotibiale,1
Enthesopathy,nl,enthesopathie,0
Enthesopathy,nl,iliotibiaal,1
Enthesopathy,tr,entezopat,0
Enthesopathy,tr,iliotibial,1
Extrusion,bg,екструзи,1
Extrusion,bg,коренов~руптур,0
Extrusion,bs,ekstruzij,1
Extrusion,bs,korijen~menisk,1
Extrusion,de,extrusion,1
Extrusion,de,menisk~extrusion,1
Extrusion,de,wurzelriss,0
Extrusion,de,wurzel~riss,1
Extrusion,el,εξώθησ,0
Extrusion,el,ρίζα~μηνίσκ,1
Extrusion,en,extrusion,1
Extrusion,en,extruded,1
Extrusion,en,root tear,1
Extrusion,en,meniscal root,1
Extrusion,en,menisc~root,1
Extrusion,en,root~tear,1
Extrusion,es,extrusión,1
Extrusion,es,extrusion,0
Extrusion,es,raíz~menisc,1
Extrusion,es,raiz~menisc,0
Extrusion,fr,extrusion,1
Extrusion,fr,racine~méniscale,0
Extrusion,hr,ekstruzij,1
Extrusion,hr,korijen~menisk,1
Extrusion,nl,extrusie,1
Extrusion,nl,meniscus~extrusie,1
Extrusion,tr,ekstrüzyon,1
Extrusion,tr,kök~yırtı,1
Ganglion,bg,ганглий,0
Ganglion,bg,менисков~киста,0
Ganglion,bg,киста~мениск,1
Ganglion,bs,ganglijsk~cist,1
Ganglion,bs,meniskaln~cist,0
Ganglion,de,ganglion,1
Ganglion,de,meniskuszyste,0
Ganglion,de,menisk~zyste,0
Ganglion,el,γάγγλι,1
Ganglion,el,μηνισκ~κύστ,0
Ganglion,en,ganglion,1
Ganglion,en,meniscal cyst,1
Ganglion,en,paralabral,1
Ganglion,en,menisc~cyst,1
Ganglion,en,parameniscal,1
Ganglion,es,gangli,1
Ganglion,es,quiste~menisc,1
Ganglion,fr,ganglion,1
Ganglion,fr,kyste~méniscal,1
Ganglion,hr,ganglijsk~cist,0
Ganglion,hr,meniskaln~cist,0
Ganglion,nl,ganglioncyste,1
Ganglion,nl,meniscuscyste,0
Ganglion,nl,ganglion~cyste,1
